45866,55432,5978,18435,34077,55087,58131,23031,49739,28607,30040,26520,7384,36074,19493,12812,58753,2509,54792,9807,56289,13967,3238,10705,22987,40088,4594,27975,10172,35244,9939,54740,20974,2561,51177,5319,19561,39109,50060,25627,53204,36259,47044,19269,28218,47614,43512,10770,777,44911,53769,13768,3194,57856,46804,40134,26210,23757,12722,38631,49492,47551,56482,38335,14951,49918,16001,26769,47454
54167,56067,23112,5083,23199,24546,48051,46244,32944,43787,16524,10227,11344,50615,38186,46256,41277,13975,33648,16262,44878,28204,47648,37707,15399,44802,44476,34727,31631,49125,35200,39763,5428,22171,27043,51056,22870,50941,49712,54082,9905,51655,50588,54279,11441,34677,42286,30483,29259,34248,47522,32408,36708,21047,38415,43410,5414,32146,58366,39991,18012,46636,52061,35277,22343,30852,38892,36306,1395
39901,36931,47505,36832,34723,52586,11481,59373,25603,7926,22380,13896,58072,50532,8639,3645,24904,7616,40100,391,41404,6633,50290,59173,24393,20717,19326,3066,32320,58846,4479,46430,55724,1819,51093,33549,6564,35411,42766,28687,38471,57730,58887,18218,40871,41702,1400,15315,2885,25127,49757,44777,11039,40730,734,27556,1372,53472,29316,52180,26488,19213,50762,4648,22912,38390,40077,26516,59106
17356,18637,44124,18894,21779,35724,48897,19565,49969,46191,15711,19988,41631,33895,43931,35982,37730,21728,23199,15882,10049,27384,43900,41291,11340,58207,39936,44813,251,47394,24450,54720,28694,48518,40206,6245,30235,20013,13375,24305,52337,29238,33239,28933,15591,53479,36008,46494,21047,18454,57319,42605,20083,26780,43197,52500,7119,3276,14499,20355,51439,1863,12855,25880,46539,57721,14701,33385,21776
38363,31318,4354,57758,33468,28921,33612,49989,32960,57386,29481,12763,49690,22671,23212,57116,5254,32365,7128,23982,36345,16285,24370,1359,47095,44108,93,52770,21839,18248,56554,37411,26203,150,16122,36700,27273,5476,30453,243,25922,24100,12800,52551,15893,2970,49828,9690,2192,9210,32496,48055,17307,25040,21722,23109,54223,27397,32523,21682,48024,43901,17197,52487,53801,3216,27728,17194,29118
45021,7561,49576,13600,30440,49887,21376,10201,35570,6849,14919,40022,30865,12648,42471,10961,1015,22673,49716,2427,14891,40165,6568,45273,50873,32631,17345,22834,9515,4704,16087,32974,53384,27014,20380,37978,36575,28923,19735,15062,15521,40497,8155,45322,3636,47450,51923,39929,40084,39189,40849,1657,26996,16495,6383,3805,11259,28383,4395,55250,52415,22183,45539,3294,29431,31349,24385,42056,57194
17484,29272,3440,6498,17140,50703,52382,12369,4094,42675,45266,12749,55957,57196,21587,15086,42378,34405,51330,24533,13955,46212,34573,38965,40843,17040,16338,19699,39173,50475,592,35952,20582,52374,51524,14148,26348,1184,15906,1260,50549,888,10310,40117,14122,46566,16144,36287,52159,34489,43108,47785,37871,23561,57786,34013,28029,4349,47934,59385,712,52804,46227,1362,37039,1352,26718,37389,25841
10903,9024,2180,19772,29959,38315,43412,55111,11362,36499,57593,719,12648,3872,11105,48294,19969,47986,7298,25722,280,26534,38325,38089,11127,26473,23246,38844,46864,36808,40838,56008,56325,48912,3456,52178,10707,15499,38883,25437,23974,14568,58708,15800,16272,29725,21581,7812,16580,9419,55525,3159,38062,50694,26876,46802,42750,42662,9603,20121,51020,46735,23433,43310,3504,39297,51958,11006,52579
29449,13201,44142,46640,26346,15424,37441,45192,43037,42950,51178,42087,21006,26190,59882,52085,4949,16293,25428,22844,11026,11698,41621,24053,1669,48462,52753,39275,1728,20331,49262,33044,21095,57034,43640,26421,46814,30816,1377,18555,54106,33090,30553,9903,16679,41726,23909,15344,28039,15973,24663,23391,6425,20734,13886,26321,10080,10579,44876,31096,25012,4444,54791,33736,6642,13761,55951,7904,38693
51089,49006,34060,19343,14367,58440,52845,21839,37553,42712,58610,19088,26200,18231,31623,40373,58810,1470,38976,10187,50670,7130,21182,42086,21278,58172,26733,1827,29683,4558,14005,44834,36675,72,13543,26679,13746,34365,41218,2592,31703,26706,32340,59649,59914,8592,41849,47506,16219,43083,33965,865,3575,3704,9261,35557,31414,16898,32480,25638,54757,50000,24190,58822,53601,57805,38687,13661,50539
8008,7302,59167,14742,2154,7500,30559,31026,40224,54822,26387,26008,16910,54048,28715,55642,59425,999,53837,46922,25207,5346,13536,46621,58445,17309,47239,30619,48645,42901,8516,53318,59809,50399,52277,24360,46944,47301,17205,30493,12280,59297,48346,44127,11677,55055,37243,50455,58526,45545,21225,41633,8658,5836,39895,10129,30262,1998,37082,35454,2445,33310,19287,37653,34044,26214,8216,50024,55421
33965,51638,39652,36578,91,38447,13613,33467,34089,9931,45580,30596,3784,31943,12027,3393,32265,15430,37121,24177,42880,13424,24777,54449,51875,41192,29303,17181,7378,17180,286,32387,27765,13701,55441,34214,34628,48930,8731,54292,57377,23066,49353,58434,11718,17450,40228,8621,31867,38722,53854,54616,34802,2187,3946,58209,43382,34675,2691,36855,2120,9163,19872,24521,43436,54056,37310,47924,30386
59907,45691,22945,52761,46435,57673,52540,56443,7168,27831,34823,58608,27716,30504,52657,6093,54684,5015,38630,24530,42726,7312,37496,38269,43977,21368,54191,49761,27358,57635,34611,45476,9231,54249,10371,58916,51750,4061,58615,49564,2426,10935,6337,10515,2714,44208,56310,11598,26678,4284,16743,4334,23664,45435,51387,7987,45397,8428,31218,48836,4287,44462,28680,40707,12325,36283,55291,22949,19548
24899,7028,11276,25680,2420,29282,56808,15735,47100,22339,42989,54125,29313,43781,16516,24526,5397,39390,4624,30183,58175,41909,46609,6696,14871,29406,26095,34870,33268,4033,54708,53043,6178,20996,2002,51927,17110,12143,40042,23451,21696,31017,36718,10993,29721,6543,21192,14921,27814,29124,15524,40800,24160,32010,17744,5019,49151,19556,11320,5419,8477,6215,58867,44720,27672,5958,28257,55864,14550
44573,35848,1529,29239,52526,10074,25885,47896,37300,36727,20398,54371,24299,23872,45950,39933,7944,29333,11839,50463,21163,56640,19745,7504,30307,23325,37933,34633,41596,36607,25033,57071,9008,14061,55191,7583,28906,59078,34215,27441,56264,48539,39889,15258,35557,20836,16660,15390,9572,56913,28950,37267,11589,16186,1428,36425,42763,34037,44217,59342,50367,42558,58426,2169,58031,59750,28196,32427,14763
